epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6110.21,1.548,1.29343,1.37394,0.50247,0.40731,0.41604,0.25109,1.4494,1.17541,1.34407,0.007228,0.007228,0.007228
44,6245.43,1.53914,1.27982,1.36644,0.50477,0.39867,0.4111,0.24753,1.45285,1.17963,1.34474,0.007162,0.007162,0.007162
45,6394.47,1.53686,1.28422,1.36437,0.50311,0.40969,0.41704,0.25173,1.44441,1.17229,1.3377,0.007096,0.007096,0.007096
46,6552.01,1.53664,1.27312,1.36116,0.50563,0.41075,0.42047,0.25356,1.44276,1.16716,1.33715,0.00703,0.00703,0.00703
47,6684.39,1.53294,1.27036,1.36219,0.49814,0.41709,0.42285,0.25438,1.44481,1.16249,1.33801,0.006964,0.006964,0.006964
48,6811.45,1.53048,1.26565,1.35938,0.51084,0.40474,0.41872,0.25283,1.44503,1.16935,1.33459,0.006898,0.006898,0.006898
49,6947.11,1.53129,1.26915,1.36022,0.51129,0.41357,0.42215,0.25528,1.44051,1.16592,1.33114,0.006832,0.006832,0.006832
50,7106.81,1.53359,1.27222,1.35526,0.5135,0.40938,0.42294,0.25612,1.43821,1.16366,1.331,0.006766,0.006766,0.006766
51,7248.47,1.52519,1.25875,1.34635,0.50849,0.41355,0.42279,0.25653,1.44145,1.16213,1.33013,0.0067,0.0067,0.0067
52,7384.12,1.52457,1.2578,1.34678,0.51673,0.40674,0.42647,0.2593,1.4335,1.15666,1.32676,0.006634,0.006634,0.006634
53,7518.85,1.52124,1.2572,1.3508,0.52184,0.41741,0.4287,0.26008,1.43517,1.151,1.3263,0.006568,0.006568,0.006568
54,7661.37,1.52758,1.25907,1.3551,0.51271,0.41815,0.43103,0.26251,1.43595,1.14952,1.32679,0.006502,0.006502,0.006502
55,7797.52,1.52315,1.25161,1.34615,0.50601,0.42114,0.42907,0.26037,1.43701,1.14932,1.3265,0.006436,0.006436,0.006436
56,7934.22,1.51616,1.24192,1.33807,0.50952,0.42654,0.43347,0.26229,1.43267,1.14623,1.32151,0.00637,0.00637,0.00637
57,8077.27,1.51482,1.24468,1.34488,0.51235,0.41725,0.43019,0.26054,1.42935,1.1452,1.32321,0.006304,0.006304,0.006304
58,8221.07,1.51536,1.24057,1.34282,0.52183,0.42032,0.4326,0.26224,1.43143,1.14443,1.3234,0.006238,0.006238,0.006238
59,8356.49,1.51527,1.24074,1.34366,0.50708,0.42346,0.43058,0.26167,1.4309,1.14949,1.3206,0.006172,0.006172,0.006172
60,8497.96,1.51063,1.2392,1.34235,0.51842,0.41787,0.43219,0.26176,1.42842,1.14383,1.3197,0.006106,0.006106,0.006106
61,8625.35,1.51845,1.24324,1.34126,0.51577,0.42314,0.4329,0.26343,1.4271,1.14588,1.31752,0.00604,0.00604,0.00604
62,8771.94,1.5125,1.23109,1.33345,0.52255,0.42406,0.43716,0.26551,1.42815,1.13853,1.31801,0.005974,0.005974,0.005974
63,8914.51,1.50544,1.23177,1.32989,0.53111,0.41472,0.43479,0.2638,1.42927,1.14404,1.3176,0.005908,0.005908,0.005908
64,9048.3,1.50544,1.22492,1.33122,0.52075,0.42186,0.43306,0.26231,1.42672,1.13899,1.31474,0.005842,0.005842,0.005842
65,9174.26,1.4946,1.21798,1.32416,0.51875,0.42164,0.43834,0.26537,1.42534,1.13215,1.31311,0.005776,0.005776,0.005776
66,9332.04,1.50217,1.22732,1.33452,0.52749,0.42123,0.4395,0.26615,1.42398,1.13404,1.31209,0.00571,0.00571,0.00571
67,9465.73,1.50233,1.22307,1.32736,0.51685,0.42788,0.44074,0.26616,1.42401,1.13275,1.31237,0.005644,0.005644,0.005644
68,9619.32,1.50178,1.2142,1.32724,0.52549,0.42821,0.44167,0.2678,1.42171,1.12972,1.31026,0.005578,0.005578,0.005578
69,9761.09,1.49196,1.20781,1.32281,0.52543,0.43129,0.44384,0.26991,1.42184,1.12791,1.31057,0.005512,0.005512,0.005512
70,9896.88,1.50027,1.21487,1.32376,0.52325,0.42952,0.44249,0.26814,1.42394,1.12833,1.30976,0.005446,0.005446,0.005446
71,10061.3,1.50256,1.22123,1.32792,0.53052,0.42309,0.4416,0.26836,1.41946,1.12499,1.30669,0.00538,0.00538,0.00538
72,10205.3,1.4884,1.20017,1.31605,0.52595,0.42916,0.44434,0.26983,1.4219,1.1264,1.30782,0.005314,0.005314,0.005314
73,10349.1,1.49601,1.21309,1.32241,0.52652,0.42445,0.444,0.26916,1.4208,1.12488,1.30599,0.005248,0.005248,0.005248
74,10475,1.48916,1.20288,1.32143,0.52918,0.43005,0.44579,0.27149,1.41699,1.12388,1.30303,0.005182,0.005182,0.005182
75,10609.6,1.48968,1.20503,1.32306,0.5291,0.42957,0.44682,0.27232,1.41769,1.11895,1.30424,0.005116,0.005116,0.005116
76,10744.6,1.49196,1.20629,1.3202,0.53021,0.42936,0.44606,0.27181,1.41691,1.12004,1.30228,0.00505,0.00505,0.00505
77,10897.2,1.49068,1.20149,1.31901,0.52789,0.42823,0.44638,0.2714,1.41913,1.12034,1.30233,0.004984,0.004984,0.004984
78,11073.8,1.48933,1.19761,1.31037,0.51605,0.435,0.44573,0.26994,1.41859,1.11959,1.30114,0.004918,0.004918,0.004918
79,11199.7,1.48407,1.19983,1.31494,0.52421,0.43174,0.44823,0.27131,1.41758,1.1181,1.30062,0.004852,0.004852,0.004852
80,11333.7,1.48318,1.1942,1.3066,0.53051,0.43338,0.44854,0.27232,1.41596,1.11633,1.29988,0.004786,0.004786,0.004786
81,11474.1,1.48135,1.19119,1.31233,0.53001,0.43494,0.44983,0.27226,1.41645,1.11427,1.30037,0.00472,0.00472,0.00472
82,11630.7,1.47701,1.18595,1.3087,0.53505,0.43147,0.45031,0.27341,1.41344,1.11197,1.29783,0.004654,0.004654,0.004654
83,11812.3,1.48194,1.18742,1.30827,0.53396,0.43313,0.45009,0.27379,1.41205,1.11248,1.29632,0.004588,0.004588,0.004588
84,11948.7,1.47683,1.18781,1.31266,0.5349,0.43424,0.44949,0.27361,1.41472,1.11472,1.29792,0.004522,0.004522,0.004522
85,12074,1.48225,1.19472,1.31365,0.53822,0.42971,0.44893,0.2726,1.41744,1.11224,1.29781,0.004456,0.004456,0.004456
86,12200.9,1.47556,1.18376,1.30805,0.53624,0.42812,0.44912,0.27342,1.41507,1.11205,1.29714,0.00439,0.00439,0.00439
87,12339,1.4803,1.18224,1.30747,0.54246,0.4327,0.45123,0.27392,1.4152,1.11087,1.29668,0.004324,0.004324,0.004324
88,12501.2,1.47013,1.17588,1.30297,0.53853,0.43305,0.45258,0.27463,1.4142,1.11029,1.29656,0.004258,0.004258,0.004258
89,12637.6,1.47987,1.18439,1.30825,0.53951,0.4354,0.45282,0.2753,1.41512,1.11148,1.29674,0.004192,0.004192,0.004192
90,12765.6,1.47816,1.18074,1.30392,0.54204,0.43251,0.45182,0.27473,1.41463,1.11025,1.29601,0.004126,0.004126,0.004126
91,12893.4,1.47377,1.18146,1.30298,0.54069,0.43047,0.45271,0.27474,1.41612,1.11004,1.296,0.00406,0.00406,0.00406
92,13028.7,1.47709,1.1797,1.30243,0.54001,0.43097,0.45309,0.27486,1.41394,1.10826,1.29449,0.003994,0.003994,0.003994
93,13157.9,1.47527,1.17725,1.30198,0.53704,0.43221,0.45321,0.27595,1.41303,1.10846,1.29413,0.003928,0.003928,0.003928
94,13303,1.47053,1.16947,1.29651,0.54077,0.43052,0.45267,0.27509,1.41399,1.10724,1.29405,0.003862,0.003862,0.003862
95,13453.1,1.46484,1.1642,1.29669,0.53886,0.43472,0.45428,0.27523,1.4128,1.10714,1.29302,0.003796,0.003796,0.003796
96,13590.6,1.46189,1.16449,1.29702,0.53319,0.43825,0.4548,0.27542,1.41208,1.10553,1.29271,0.00373,0.00373,0.00373
97,13738.8,1.47532,1.17393,1.29859,0.53171,0.43935,0.45423,0.27572,1.41392,1.10451,1.29306,0.003664,0.003664,0.003664
98,13877.6,1.47071,1.16567,1.29332,0.53832,0.4326,0.45369,0.27552,1.41249,1.10309,1.29177,0.003598,0.003598,0.003598
99,14003.2,1.45983,1.16157,1.29922,0.55204,0.4304,0.45536,0.27656,1.41217,1.10267,1.29093,0.003532,0.003532,0.003532
100,14152.1,1.46607,1.16735,1.29396,0.55236,0.42963,0.45583,0.27743,1.41329,1.10182,1.2913,0.003466,0.003466,0.003466
101,14288.5,1.45614,1.15177,1.29262,0.55455,0.43014,0.45731,0.27708,1.41495,1.10089,1.29192,0.0034,0.0034,0.0034
102,14467.8,1.46557,1.16213,1.29121,0.55333,0.42884,0.45765,0.27715,1.41355,1.1011,1.29145,0.003334,0.003334,0.003334
103,14602.5,1.46355,1.1602,1.2954,0.55236,0.43149,0.4588,0.27801,1.41223,1.09966,1.29055,0.003268,0.003268,0.003268
